Info,,LIBOR 6M,,Vol Black,,,,Year,Month,Date,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,2011,4,6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.991966,0.990372,0.988679,0.986775,0.98495,0.983116,0.981045,0.979167,0.977013,0.974814,0.97264,0.970174,0.968069,0.953509,0.922151,0.88901,0.854847,0.820489,0.786798,0.753702,0.721085,0.689382,0.658136,0.627433,0.543898,0.437335,0.364429,0.313436,0.272001,0.234494,0.198651,0.171671,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,29.59,31.13,27.1,24.45,22.48,21.32,20.38,19.63,18.95,18.38,17.93,17.3,17.15,17.48,18.07,,,,,,,,,,,,,,,,,
,Strike,2.02,2.48,2.79,3.02,3.2,3.35,3.47,3.57,3.66,3.74,3.88,4.03,4.11,4.06,3.96,,,,,,,,,,,,,,,,,
3Mo,Vol,28.15,30,27.45,25.43,23.85,22.78,21.8,21.07,20.45,19.93,19.39,18.65,18.65,19.13,20.05,,,,,,,,,,,,,,,,,
,Strike,2.21,2.62,2.9,3.12,3.29,3.43,3.54,3.64,3.72,3.8,3.93,4.07,4.13,4.08,3.98,,,,,,,,,,,,,,,,,
6Mo,Vol,28.37,29,26.73,25.12,23.95,22.97,22.15,21.55,20.95,20.45,20,19.3,19.25,19.85,20.68,,,,,,,,,,,,,,,,,
,Strike,2.48,2.82,3.07,3.26,3.41,3.54,3.64,3.73,3.81,3.88,4.01,4.13,4.18,4.11,4.01,,,,,,,,,,,,,,,,,
9Mo,Vol,29.75,28.71,26.64,25.01,23.83,22.92,22.21,21.64,21.1,20.63,20.19,19.55,19.57,20.21,21.08,,,,,,,,,,,,,,,,,
,Strike,2.7,2.99,3.21,3.38,3.52,3.63,3.73,3.81,3.88,3.95,4.07,4.18,4.21,4.14,4.03,,,,,,,,,,,,,,,,,
1Yr,Vol,31.19,28.43,26.55,24.9,23.7,22.88,22.27,21.73,21.25,20.82,20.4,19.8,19.9,20.57,21.5,,,,,,,,,,,,,,,,,
