Info,,LIBOR 6M,,Vol Black,Fev-05-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998063,0.997747,0.997473,0.997174,0.996859,0.996557,0.996225,0.995914,0.995591,0.995237,0.994852,0.994496,0.9941,0.991342,0.982727,0.969001,0.950994,0.929636,0.905605,0.880095,0.853403,0.826315,0.799313,0.77277,0.698917,0.600878,0.525251,0.463458,0.408491,0.357894,0.314505,0.27707,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,70.41,80.89,76.38,65.65,54.83,46,40.14,35.86,32.69,30.34,27.78,24,21.88,21.12,20.67,,,,,,,,,,,,,,,,,
,Strike,0.36,0.44,0.6,0.81,1.03,1.23,1.43,1.6,1.75,1.89,2.11,2.32,2.47,2.51,2.51,,,,,,,,,,,,,,,,,
3Mo,Vol,71.1,80.8,75.1,63.49,54.49,46.41,40.66,36.7,33.66,31.39,28.67,24.68,22.44,21.78,21.34,,,,,,,,,,,,,,,,,
,Strike,0.37,0.48,0.65,0.86,1.08,1.29,1.48,1.65,1.81,1.94,2.15,2.35,2.49,2.53,2.53,,,,,,,,,,,,,,,,,
6Mo,Vol,74.63,78.26,69.94,60.36,52.8,45.67,40.63,36.92,34.18,32.01,29.45,25.77,23.45,22.82,22.37,,,,,,,,,,,,,,,,,
,Strike,0.4,0.54,0.73,0.96,1.18,1.39,1.57,1.74,1.89,2.01,2.21,2.4,2.53,2.56,2.55,,,,,,,,,,,,,,,,,
9Mo,Vol,74.05,75,66.62,57.94,50.91,44.52,40,36.59,34.1,32.08,29.65,26.2,23.95,23.35,22.84,,,,,,,,,,,,,,,,,
,Strike,0.44,0.61,0.83,1.06,1.28,1.48,1.66,1.83,1.97,2.09,2.27,2.45,2.56,2.59,2.58,,,,,,,,,,,,,,,,,
1Yr,Vol,73.37,71.57,63.17,55.43,48.99,43.35,39.35,36.25,34,32.16,29.86,26.64,24.44,23.89,23.3,,,,,,,,,,,,,,,,,
