Info,,LIBOR 6M,,Vol Black,Avril-02-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.997831,0.997518,0.997176,0.996793,0.996459,0.996133,0.995751,0.995411,0.995002,0.994561,0.99416,0.993715,0.993254,0.99013,0.980953,0.96758,0.950564,0.930156,0.907293,0.882686,0.856694,0.830183,0.803486,0.777029,0.703163,0.603446,0.526582,0.464182,0.408201,0.356938,0.312979,0.274938,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,57.73,58.28,57.66,52.61,46.45,40.06,35.23,31.82,29.11,27.03,24.66,21.19,19.11,18.36,17.94,,,,,,,,,,,,,,,,,
,Strike,0.42,0.51,0.66,0.85,1.04,1.23,1.4,1.57,1.72,1.85,2.07,2.29,2.45,2.49,2.5,,,,,,,,,,,,,,,,,
3Mo,Vol,55.96,59.07,57.98,53.2,48.01,41.74,37.03,33.58,30.79,28.67,26.06,22.24,19.93,19.02,18.64,,,,,,,,,,,,,,,,,
,Strike,0.43,0.54,0.71,0.9,1.09,1.28,1.46,1.62,1.77,1.9,2.11,2.32,2.47,2.51,2.52,,,,,,,,,,,,,,,,,
6Mo,Vol,58.15,60.66,57.61,51.32,47.32,41.65,37.56,34.19,31.7,29.71,27.2,23.58,21.14,20.31,19.82,,,,,,,,,,,,,,,,,
,Strike,0.46,0.61,0.79,0.98,1.18,1.37,1.54,1.7,1.84,1.97,2.17,2.37,2.51,2.54,2.54,,,,,,,,,,,,,,,,,
9Mo,Vol,58.77,60.86,56.73,51.27,46.79,41.53,37.69,34.62,32.33,30.46,27.99,24.47,22.09,21.41,20.88,,,,,,,,,,,,,,,,,
,Strike,0.51,0.68,0.87,1.07,1.27,1.45,1.63,1.78,1.92,2.04,2.23,2.41,2.54,2.57,2.57,,,,,,,,,,,,,,,,,
1Yr,Vol,59.22,60.88,55.79,51.15,46.23,41.39,37.81,35.02,32.94,31.19,28.76,25.35,23.02,22.49,21.92,,,,,,,,,,,,,,,,,
