Info,,LIBOR 6M,,Vol Black,June-04-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.99802,0.997776,0.997543,0.997335,0.997098,0.996886,0.996635,0.996413,0.996156,0.995892,0.995648,0.99538,0.995105,0.993135,0.986577,0.976166,0.961377,0.942729,0.921726,0.898282,0.873591,0.848129,0.822511,0.797226,0.725304,0.627293,0.551299,0.489978,0.434568,0.383499,0.341127,0.303657,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,78.74,123.68,110.56,90.98,73.94,60.86,52.03,45.55,40.95,37.64,34.27,29.29,26.71,26,25.82,,,,,,,,,,,,,,,,,
,Strike,0.3,0.34,0.46,0.62,0.8,1,1.18,1.35,1.5,1.64,1.86,2.08,2.26,2.31,2.32,,,,,,,,,,,,,,,,,
3Mo,Vol,79.38,92.39,82.1,68.17,57.87,48.92,42.61,38.26,34.99,32.57,29.73,25.55,23.31,22.61,22.63,,,,,,,,,,,,,,,,,
,Strike,0.29,0.36,0.49,0.66,0.85,1.05,1.23,1.4,1.55,1.68,1.89,2.11,2.28,2.33,2.33,,,,,,,,,,,,,,,,,
6Mo,Vol,80.06,83.15,72.8,61.07,52.63,45.2,39.96,36.07,33.36,31.2,28.5,24.61,22.33,21.71,21.58,,,,,,,,,,,,,,,,,
,Strike,0.29,0.4,0.55,0.74,0.93,1.13,1.31,1.47,1.62,1.75,1.95,2.16,2.31,2.35,2.36,,,,,,,,,,,,,,,,,
9Mo,Vol,80.9,77.54,67.29,57.25,49.68,43.17,38.62,35.24,32.82,30.86,28.28,24.63,22.45,21.89,21.65,,,,,,,,,,,,,,,,,
,Strike,0.32,0.45,0.62,0.81,1.02,1.21,1.39,1.55,1.69,1.82,2.01,2.2,2.34,2.38,2.38,,,,,,,,,,,,,,,,,
1Yr,Vol,81.78,71.7,61.43,53.16,46.63,41.07,37.2,34.35,32.24,30.49,28.05,24.63,22.58,22.07,21.71,,,,,,,,,,,,,,,,,
