Info,,LIBOR 6M,,Vol Black,Aout-01-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998428,0.99818,0.997908,0.997682,0.997416,0.997174,0.99693,0.996646,0.996405,0.996129,0.995835,0.99557,0.995276,0.993313,0.987949,0.979792,0.968519,0.953734,0.935995,0.91595,0.893983,0.8714,0.848224,0.825171,0.75847,0.663883,0.590037,0.529121,0.474788,0.421548,0.379434,0.341112,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,44.41,42.9,44.67,46.04,44.42,41.05,38.22,35.98,34.24,32.79,30.05,26.04,24.46,24.31,24.79,,,,,,,,,,,,,,,,,
,Strike,0.31,0.34,0.41,0.52,0.66,0.81,0.96,1.11,1.25,1.37,1.58,1.8,1.98,2.05,2.06,,,,,,,,,,,,,,,,,
3Mo,Vol,47.02,44.63,48.31,48.98,48.47,43.93,40.78,38.54,36.55,34.94,32.1,27.95,26.06,25.63,26.13,,,,,,,,,,,,,,,,,
,Strike,0.31,0.36,0.44,0.56,0.7,0.85,1,1.15,1.29,1.41,1.61,1.83,2,2.06,2.08,,,,,,,,,,,,,,,,,
6Mo,Vol,45.43,46.2,48.64,49.56,48.21,44.22,40.76,38.46,36.49,34.93,32.14,28.16,25.96,25.54,25.93,,,,,,,,,,,,,,,,,
,Strike,0.32,0.38,0.48,0.61,0.75,0.91,1.07,1.21,1.35,1.47,1.66,1.86,2.03,2.08,2.1,,,,,,,,,,,,,,,,,
9Mo,Vol,47.67,50.13,51.75,51.39,49.44,45.19,41.66,39.21,37.23,35.6,32.73,28.71,26.5,26.07,26.3,,,,,,,,,,,,,,,,,
,Strike,0.34,0.42,0.53,0.66,0.82,0.98,1.13,1.28,1.41,1.53,1.71,1.9,2.06,2.11,2.12,,,,,,,,,,,,,,,,,
1Yr,Vol,49.9,54.04,54.84,53.2,50.66,46.14,42.55,39.95,37.96,36.27,33.32,29.25,27.05,26.59,26.66,,,,,,,,,,,,,,,,,
