Info,,LIBOR 6M,,Vol Black,Aout-04-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR Bloomberg CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998433,0.998191,0.997931,0.997691,0.997415,0.997195,0.996935,0.996665,0.996414,0.996139,0.995854,0.995577,0.995258,0.993255,0.987823,0.979543,0.967959,0.953613,0.935769,0.915451,0.893429,0.871151,0.84762,0.825001,0.758308,0.663728,0.588939,0.528298,0.4734,0.421191,0.380444,0.340292,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,43.97,42.47,44.31,45.28,43.72,40.58,37.9,35.69,33.96,32.48,29.67,25.55,23.72,23.31,23.48,,,,,,,,,,,,,,,,,
,Strike,0.31,0.35,0.42,0.53,0.67,0.81,0.96,1.11,1.26,1.38,1.58,1.8,1.99,2.05,2.07,,,,,,,,,,,,,,,,,
3Mo,Vol,47.05,44.52,47.78,47.81,46.99,42.84,39.84,37.77,35.85,34.33,31.52,27.39,25.45,24.98,25.36,,,,,,,,,,,,,,,,,
,Strike,0.31,0.36,0.45,0.57,0.71,0.85,1.01,1.16,1.29,1.42,1.62,1.83,2,2.07,2.08,,,,,,,,,,,,,,,,,
6Mo,Vol,45.42,45.97,47.63,48.11,46.8,43.15,39.89,37.71,35.85,34.35,31.62,27.7,25.53,25.2,25.58,,,,,,,,,,,,,,,,,
,Strike,0.32,0.39,0.49,0.62,0.76,0.92,1.07,1.22,1.35,1.48,1.67,1.87,2.03,2.09,2.1,,,,,,,,,,,,,,,,,
9Mo,Vol,47.43,49.59,50.65,49.97,48.24,44.28,40.93,38.59,36.7,35.12,32.31,28.34,26.17,25.79,26.02,,,,,,,,,,,,,,,,,
,Strike,0.34,0.42,0.54,0.68,0.82,0.98,1.14,1.29,1.42,1.53,1.71,1.91,2.06,2.11,2.12,,,,,,,,,,,,,,,,,
1Yr,Vol,49.5,53.31,53.75,51.88,49.73,45.44,41.99,39.5,37.59,35.92,33.02,28.99,26.82,26.39,26.49,,,,,,,,,,,,,,,,,
