Info,,LIBOR 6M,,Vol Black,Aout-05-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,EUR BVOL  CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF,6 MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,,
0.998416,0.998175,0.997936,0.997683,0.997416,0.997184,0.996924,0.996658,0.996391,0.996087,0.995831,0.995535,0.995221,0.993184,0.98763,0.979186,0.967597,0.952572,0.934491,0.914061,0.892018,0.86908,0.846853,0.822613,0.756072,0.661786,0.587146,0.526457,0.470069,0.421492,0.375385,0.340634,,
#########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,,,
1Mo,Vol,45.48,43.43,45.09,45.92,44.4,41.13,38.46,36.26,34.52,33.1,30.32,26.22,24.44,24.04,24.3,,,,,,,,,,,,,,,,,
,Strike,0.31,0.35,0.43,0.54,0.68,0.83,0.98,1.13,1.28,1.4,1.61,1.82,2,2.07,2.08,,,,,,,,,,,,,,,,,
3Mo,Vol,48,45.4,47.95,47.45,46.45,42.24,39.37,37.36,35.45,33.96,31.26,27.28,25.46,24.99,25.43,,,,,,,,,,,,,,,,,
,Strike,0.31,0.37,0.45,0.58,0.72,0.87,1.02,1.18,1.31,1.44,1.64,1.85,2.02,2.08,2.1,,,,,,,,,,,,,,,,,
6Mo,Vol,46.43,46.48,47.46,47.39,45.76,42.34,39.21,37.13,35.39,33.88,31.26,27.52,25.54,25.12,25.45,,,,,,,,,,,,,,,,,
,Strike,0.32,0.4,0.5,0.63,0.78,0.94,1.09,1.24,1.38,1.49,1.69,1.89,2.05,2.1,2.12,,,,,,,,,,,,,,,,,
9Mo,Vol,47.66,49.59,49.92,48.9,46.89,43.26,40.15,37.94,36.15,34.6,31.88,28.11,26.06,25.65,25.82,,,,,,,,,,,,,,,,,
,Strike,0.35,0.43,0.55,0.68,0.84,1,1.16,1.31,1.44,1.55,1.74,1.92,2.08,2.13,2.14,,,,,,,,,,,,,,,,,
1Yr,Vol,48.92,52.79,52.44,50.45,48.05,44.2,41.11,38.76,36.93,35.34,32.52,28.71,26.6,26.19,26.19,,,,,,,,,,,,,,,,,
