Info,,LIBOR 6M,,Vol Black,Aout-14-2014,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EUR,Mid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBOR_DF ,6Mo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 MO,7 MO,8 MO,9 MO,10 MO,11 MO,1 YR,13 MO,14 MO,15 MO,16 MO,17 MO,18 MO,2 YR,3 YR,4 YR,5 YR,6 YR,7 YR,8 YR,9 YR,10 YR,11 YR,12 YR,15 YR,20 YR,25 YR,30 YR,35 YR,40 YR,45 YR,50 YR,
0.998479,0.998253,0.997995,0.99778,0.997528,0.997296,0.997066,0.996817,0.996559,0.996308,0.99605,0.99578,0.995503,0.993655,0.988806,0.981457,0.971283,0.957768,0.941318,0.922307,0.901674,0.880013,0.857973,0.836049,0.772352,0.681471,0.60899,0.549417,0.494391,0.443549,0.399633,0.362518,
########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SwaptionVol,ATM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expiry,,1Yr,2Yr,3Yr,4Yr,5Yr,6Yr,7Yr,8Yr,9Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr,,,,,,,,,,,,,,,
1Mo,Vol,52.18,49.53,52.67,53.21,51.17,48.87,46.67,44.82,43.28,41.9,38.43,33.37,31.67,31.86,32.85,,,,,,,,,,,,,,,
,Strike,0.29,0.32,0.38,0.48,0.6,0.73,0.88,1.02,1.15,1.27,1.47,1.68,1.86,1.92,1.94,,,,,,,,,,,,,,,
3Mo,Vol,50.03,47.9,51.56,51.74,50.92,47.52,45.03,43.27,41.48,39.97,36.63,31.77,29.62,29.11,29.54,,,,,,,,,,,,,,,
,Strike,0.29,0.34,0.41,0.51,0.63,0.77,0.92,1.06,1.19,1.31,1.51,1.71,1.88,1.94,1.96,,,,,,,,,,,,,,,
6Mo,Vol,49.1,48.78,51.88,51.44,49.69,46.66,43.74,41.82,40.21,38.68,35.47,30.91,28.89,28.36,28.71,,,,,,,,,,,,,,,
,Strike,0.3,0.36,0.44,0.55,0.69,0.83,0.98,1.12,1.25,1.37,1.55,1.74,1.91,1.96,1.98,,,,,,,,,,,,,,,
9Mo,Vol,52.04,53.5,55.33,53.97,51.51,47.97,44.85,42.69,40.93,39.36,36.2,31.78,29.67,29.06,29.23,,,,,,,,,,,,,,,
,Strike,0.32,0.39,0.48,0.6,0.74,0.89,1.04,1.18,1.31,1.42,1.6,1.78,1.93,1.98,1.99,,,,,,,,,,,,,,,
1Yr,Vol,55.14,58.47,58.97,56.64,53.43,49.34,46.03,43.6,41.69,40.07,36.98,32.71,30.51,29.81,29.79,,,,,,,,,,,,,,,
